season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp
2023,Coby White,SG,22,CHI,74,2,23.4,3.6,8,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1,1.6,9.7,1730,12.5,0.572,,,1.1,12.6,6.9,16.3,1.5,0.3,10.6,17.9,1.2,1.9,3.1,0.087,-1,0.2,-0.8,0.5
2023,Derrick White,SG,28,BOS,82,70,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.56,2,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4,2319,15.4,0.604,,,2.5,11.2,6.9,19.4,1.1,2.8,10.1,17.7,4.4,3.1,7.4,0.154,1.1,1.3,2.4,2.6
2023,Jack White,SF,25,DEN,17,0,3.9,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.5,0.1,0.2,0.667,0.4,0.6,1,0.2,0.2,0.1,0.1,0.5,1.2,66,12.6,0.517,,,10.7,18.6,14.8,7.7,2.2,2.7,9,14.7,0.1,0.1,0.1,0.108,-2.6,0.7,-1.9,0
2023,Joe Wieskamp,SF,23,TOR,9,0,5.6,0.3,1.6,0.214,0.3,1.3,0.25,0,0.2,0,0.321,0,0,,0,0.4,0.4,0.3,0,0,0.1,0.3,1,50,-0.4,0.321,,,0,9.8,4.5,7.4,0,0,6.7,12.8,-0.1,0,-0.1,-0.076,-7,-3.6,-10.6,-0.1
2023,Aaron Wiggins,SG,24,OKC,70,14,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2,3.4,0.573,0.579,0.8,1,0.831,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8,1297,12.2,0.607,,,5.5,12,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0
2023,Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5,2.3,1.2,0.8,1.3,2.9,17.1,1190,14.7,0.564,,,5.7,11.3,8.6,10.5,1.8,2.1,7.9,21.5,1,1.3,2.3,0.091,-0.1,-0.4,-0.5,0.5
2023,Lindell Wigginton,PG,24,MIL,7,1,12.4,2.6,5.3,0.486,0.9,2.6,0.333,1.7,2.7,0.632,0.568,1.1,1.3,0.889,0,1,1,2,0,0.3,1.7,1,7.1,87,11.8,0.61,,,0,8.1,4.2,23.8,0,1.9,22.7,25.6,0,0.1,0.1,0.028,-3.1,-3.6,-6.7,-0.1
2023,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0,5,-20.9,,,,0,22,11.2,0,0,0,100,17.7,-0.1,0,-0.1,-0.517,-21.3,-5.2,-26.5,0
2023,Donovan Williams,SG,21,ATL,2,0,2,1,2.5,0.4,0,1,0,1,1.5,0.667,0.4,0,0,,0,1,1,0,0,0,0,0,2,4,14.5,0.4,,,0,55.4,27.4,0,0,0,0,52.5,0,0,0,-0.225,-9.1,-6.1,-15.2,0
2023,Grant Williams,PF,24,BOS,79,23,25.9,2.7,6,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,8.1,2045,10.3,0.605,,,4.7,14.5,9.7,8.4,1,1.3,13.4,13.1,1.9,2.6,4.4,0.104,-1.8,0.7,-1.1,0.5
2023,Jalen Williams,SG,21,OKC,75,62,30.3,5.5,10.6,0.521,1,2.7,0.356,4.5,7.9,0.579,0.567,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,2276,15.6,0.601,,,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3,2.6,5.6,0.119,-0.4,0.7,0.3,1.3
2023,Jaylin Williams,C,20,OKC,49,36,18.7,2.1,4.8,0.436,0.9,2.3,0.407,1.1,2.5,0.463,0.534,0.8,1.1,0.704,0.9,4,4.9,1.6,0.6,0.2,0.8,2.3,5.9,914,11.2,0.559,,,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,0.099,-2.3,0.6,-1.7,0.1
2023,Jeenathan Williams,SG,23,POR,5,4,25.4,4.8,7.8,0.615,0.6,1.6,0.375,4.2,6.2,0.677,0.654,0.4,0.6,0.667,2,1,3,2,0.6,0.4,0.8,2.6,10.6,127,15.5,0.657,,,9,4.6,6.8,12.1,1.2,1.4,9,15.2,0.3,0,0.3,0.12,-1,-2.1,-3,0
2023,Kenrich Williams,PF,28,OKC,53,10,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2,0.8,0.3,0.6,2.1,8,1206,14.4,0.585,,,8.5,14.9,11.6,11.7,1.8,1.1,8.1,13.7,2,1.3,3.3,0.133,0.1,0.4,0.5,0.8
2023,Mark Williams,C,21,CHO,43,17,19.3,3.7,5.8,0.637,0,0,,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9,828,19.8,0.659,,,11.7,27.7,19.6,3.3,1.6,4.7,12,17,1.5,1.3,2.8,0.163,-0.5,0.6,0.1,0.4
2023,Patrick Williams,PF,21,CHI,82,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2,2323,11.2,0.576,,,3.9,12,8,5.8,1.5,2.9,12.3,15.7,0.5,3,3.5,0.072,-1.7,0.4,-1.3,0.4
2023,Robert Williams,C,25,BOS,35,20,23.5,3.6,4.9,0.747,0,0,0,3.6,4.8,0.751,0.747,0.7,1.2,0.61,3,5.4,8.3,1.4,0.6,1.4,1,1.9,8,824,19.8,0.742,,,14,24.5,19.3,8.5,1.3,5,15.3,11.8,2.3,1.6,3.8,0.224,1,2.4,3.3,1.1
2023,Vince Williams Jr.,SG,22,MEM,15,1,7,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.35,0.1,0.1,1,0.3,0.7,1,0.3,0.4,0.1,0.3,0.8,2,105,3.9,0.367,,,4,11.1,7.6,4.8,2.7,1.7,10.9,18.1,-0.3,0.2,-0.1,-0.049,-8.3,-0.2,-8.5,-0.2
2023,Ziaire Williams,SF,21,MEM,37,4,15.2,2.3,5.3,0.429,0.7,2.6,0.258,1.6,2.7,0.596,0.492,0.5,0.6,0.773,0.4,1.7,2.1,0.9,0.4,0.2,1,1.6,5.7,561,7.4,0.511,,,3,11.9,7.5,8.2,1.2,1,15.2,18,-0.5,0.6,0.1,0.011,-4.7,-0.8,-5.6,-0.5
2023,Zion Williamson,PF,22,NOP,29,29,33,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2,5,7,4.6,1.1,0.6,3.4,2.2,26,956,25.2,0.652,,,6.9,17,12,24.4,1.6,1.6,14.6,30.4,2.3,1.2,3.6,0.18,4.8,1,5.8,1.9
2023,Dylan Windler,SF,26,CLE,3,0,3.3,0.7,1,0.667,0.3,0.7,0.5,0.3,0.3,1,0.833,0,0,,0,0,0,0.3,0.3,0,0.3,0,1.7,10,19,0.833,,,0,0,0,15.2,5,0,25,17.9,0,0,0,0.149,3.2,3.5,6.7,0
2023,Justise Winslow,PF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1,0.714,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8,776,9.3,0.466,,,7.2,14.3,10.7,17.2,1.9,1.3,17,14.2,-0.1,0.5,0.4,0.022,-3.4,0.6,-2.8,-0.2
2023,James Wiseman,C,21,TOT,45,22,19.3,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,0.563,1.5,2.2,0.701,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10,867,15.6,0.589,,,9.2,25.2,17,5.5,0.4,2.7,11.8,21.2,0.7,0.7,1.4,0.077,-2.1,-1.4,-3.5,-0.3
2023,James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,0.628,0,0.1,0.5,2.8,4.4,0.63,0.633,1.2,1.8,0.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9,262,17.1,0.655,,,7.7,22.7,15.3,8,0.5,2.4,11.2,20,0.5,0.3,0.8,0.144,-1.3,-0.5,-1.7,0
2023,James Wiseman,C,21,DET,24,22,25.2,5.4,10.2,0.531,0.1,0.8,0.167,5.3,9.5,0.559,0.537,1.8,2.5,0.712,2.3,5.8,8.1,0.7,0.2,0.8,1.5,2.9,12.7,605,15,0.563,,,9.8,26.3,17.8,4.4,0.3,2.9,12,21.7,0.2,0.4,0.6,0.049,-2.5,-1.8,-4.3,-0.4
2023,Christian Wood,C,27,DAL,67,17,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6,7.3,1.8,0.4,1.1,1.8,2.5,16.6,1738,20.6,0.624,,,5.8,27.4,16.4,11.7,0.9,3.7,11.9,26.4,2.7,2.1,4.8,0.132,1.9,-0.3,1.7,1.6
2023,Delon Wright,PG,30,WAS,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,1221,16.3,0.581,,,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,0.146,0.4,3.1,3.4,1.7
2023,McKinley Wright IV,PG,24,DAL,27,1,12.4,1.7,3.6,0.469,0.3,1,0.321,1.4,2.6,0.529,0.515,0.5,0.7,0.684,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2,335,12.4,0.536,,,3.1,13.4,8.2,25.2,1.2,1.3,15.2,16.9,0.2,0.2,0.5,0.069,-1.9,-0.8,-2.7,-0.1
2023,Gabe York,SG,29,IND,3,0,18.7,2.7,7,0.381,2,6,0.333,0.7,1,0.667,0.524,0.7,0.7,1,0,2,2,1.7,0.7,0,0,1.7,8,56,11.8,0.548,,,0,11.9,5.9,12.3,1.7,0,0,16.4,0.1,0,0.1,0.091,-1.7,-1.8,-3.5,0
2023,Thaddeus Young,PF,34,TOR,54,9,14.7,2,3.7,0.545,0.1,0.6,0.176,1.9,3,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1,0.1,0.8,1.6,4.4,795,14.1,0.573,,,9.4,14.6,11.8,12.9,3.4,0.6,16.7,13.5,0.7,1.1,1.8,0.109,-1.8,1.9,0.1,0.4
2023,Trae Young,PG,24,ATL,73,73,34.8,8.2,19,0.429,2.1,6.3,0.335,6.1,12.7,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3,10.2,1.1,0.1,4.1,1.4,26.2,2541,22,0.573,,,2.4,7,4.7,42.5,1.5,0.3,15.2,32.6,5.3,1.4,6.7,0.126,5.3,-2,3.3,3.4
2023,Omer Yurtseven,C,24,MIA,9,0,9.2,1.8,3,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.648,0.6,0.7,0.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4,83,16.7,0.675,,,10.9,21.9,16.2,3.9,1.2,2.5,11.9,18,0.2,0.1,0.3,0.159,-2.5,-1.5,-3.9,0
2023,Cody Zeller,C,30,MIA,15,2,14.5,2.5,3.9,0.627,0,0.1,0,2.5,3.8,0.649,0.627,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,217,16.4,0.659,,,13,21.8,17.3,7.2,0.7,1.9,15.8,18.1,0.4,0.3,0.7,0.147,-2,-0.7,-2.8,0
2023,Ivica Zubac,C,25,LAC,76,76,28.6,4.3,6.8,0.634,0,0,0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1,0.4,1.3,1.5,2.9,10.8,2170,16.7,0.661,,,12.3,26.5,19.5,5.1,0.7,4,15.9,14.8,3.8,2.9,6.7,0.149,-1.1,0.2,-0.9,0.6
